,participant_id_caller,trial_caller,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,mental_demand_weight,physical_demand_weight,temporal_demand_weight,performance_weight,effort_weight,frustration_weight,mental_weighted,physical_weighted,temporal_weighted,performance_weighted,effort_weighted,frustration_weighted,overallScoreRAW,overallScoreWeighted
0,S1, SSt,5,5,5,10,5,5,4,0,4,5,2,0,20,0,20,50,10,0,5.833333333333333,6.666666666666667
1,S2, SSt,5,5,5,5,5,5,1,3,3,5,2,1,5,15,15,25,10,5,5.0,5.0
2,S3, SSt,10,10,10,5,15,5,5,1,1,5,3,0,50,10,10,25,45,0,9.166666666666666,9.333333333333334
3,S4, SSt,15,5,50,30,20,75,4,4,0,1,2,4,60,20,0,30,40,300,32.5,30.0
4,S5, SSt,10,20,10,20,10,20,2,3,3,2,1,4,20,60,30,40,10,80,15.0,16.0
5,S6, SSt,10,5,30,5,20,15,2,2,4,5,2,0,20,10,120,25,40,0,14.166666666666666,14.333333333333334
6,S7, SSt,15,10,10,5,10,5,1,2,3,5,4,0,15,20,30,25,40,0,9.166666666666666,8.666666666666666
7,S1, SM,55,50,5,50,25,20,4,1,3,3,4,0,220,50,15,150,100,0,34.166666666666664,35.666666666666664
8,S2, SM,45,5,30,35,35,100,2,3,3,2,4,1,90,15,90,70,140,100,41.666666666666664,33.666666666666664
9,S3, SM,70,5,15,65,60,75,4,1,0,2,3,5,280,5,0,130,180,375,48.333333333333336,64.66666666666667
10,S4, SM,15,55,50,35,65,55,3,2,1,4,2,3,45,110,50,140,130,165,45.833333333333336,42.666666666666664
11,S5, SM,10,55,15,50,20,5,2,4,0,2,5,2,20,220,0,100,100,10,25.833333333333332,30.0
12,S6, SM,10,35,75,85,70,95,1,1,3,3,2,5,10,35,225,255,140,475,61.666666666666664,76.0
13,S7, SM,15,15,75,25,15,25,2,1,5,4,2,1,30,15,375,100,30,25,28.333333333333332,38.333333333333336
14,S1, MM,5,5,5,5,5,5,4,1,3,5,2,0,20,5,15,25,10,0,5.0,5.0
15,S2, MM,60,100,10,10,100,100,3,2,2,2,3,3,180,200,20,20,300,300,63.333333333333336,68.0
16,S3, MM,25,10,30,30,30,60,5,0,1,3,3,3,125,0,30,90,90,180,30.833333333333332,34.333333333333336
17,S4, MM,45,20,15,20,45,5,5,1,1,3,2,3,225,20,15,60,90,15,25.0,28.333333333333332
18,S5, MM,45,10,30,70,20,45,2,4,1,2,4,2,90,40,30,140,80,90,36.666666666666664,31.333333333333332
19,S6, MM,15,25,35,5,20,5,1,3,4,5,2,0,15,75,140,25,40,0,17.5,19.666666666666668
20,S7, MM,15,35,20,15,20,15,2,1,5,4,3,0,30,35,100,60,60,0,20.0,19.0
21,S1, MSt,5,5,5,5,5,5,4,2,3,3,2,0,20,10,15,15,10,0,5.0,4.666666666666667
22,S2, MSt,5,10,5,15,5,5,1,4,3,4,3,0,5,40,15,60,15,0,7.5,9.0
23,S3, MSt,30,10,20,5,45,5,5,1,1,5,3,0,150,10,20,25,135,0,19.166666666666668,22.666666666666668
24,S4, MSt,55,25,20,20,20,15,5,1,1,3,1,4,275,25,20,60,20,60,25.833333333333332,30.666666666666668
25,S5, MSt,10,65,5,5,15,5,2,1,5,3,2,2,20,65,25,15,30,10,17.5,11.0
26,S6, MSt,25,10,35,5,10,5,4,1,3,5,2,0,100,10,105,25,20,0,15.0,17.333333333333332
27,S7, MSt,15,20,10,5,15,5,2,4,1,5,3,0,30,80,10,25,45,0,11.666666666666666,12.666666666666666
