2020-03-03 16:26:52,088 Time, PID, Interaction Style, Mode, Event-type, ID, Alive?, Center
2020-03-03 16:27:12,593 , P4, SSt, City, Movement, 0, True, (-500, -500)
2020-03-03 16:27:12,627 , P4, SSt, City, Movement, 0, True, (98, 642)
2020-03-03 16:27:12,627 , P4, SSt, City, Movement, 0, True, (98, 642)
2020-03-03 16:27:12,661 , P4, SSt, City, Movement, 0, True, (97, 637)
2020-03-03 16:27:12,694 , P4, SSt, City, Movement, 0, True, (94, 638)
2020-03-03 16:27:12,726 , P4, SSt, City, Movement, 0, True, (94, 638)
2020-03-03 16:27:12,759 , P4, SSt, City, Movement, 0, True, (94, 638)
2020-03-03 16:27:12,793 , P4, SSt, City, Movement, 0, True, (94, 638)
2020-03-03 16:27:12,827 , P4, SSt, City, Movement, 0, True, (92, 639)
2020-03-03 16:27:12,859 , P4, SSt, City, Death, 0, False, (-500, -500)
2020-03-03 16:27:17,749 , P4, SSt, City, Movement, 0, True, (-500, -500)
2020-03-03 16:27:17,783 , P4, SSt, City, Movement, 0, True, (1852, 641)
2020-03-03 16:27:17,815 , P4, SSt, City, Movement, 0, True, (1852, 640)
2020-03-03 16:27:17,848 , P4, SSt, City, Movement, 0, True, (1852, 641)
2020-03-03 16:27:17,882 , P4, SSt, City, Movement, 0, True, (1852, 641)
2020-03-03 16:27:17,882 , P4, SSt, City, Movement, 0, True, (1852, 641)
2020-03-03 16:27:17,915 , P4, SSt, City, Movement, 0, True, (1852, 640)
2020-03-03 16:27:17,948 , P4, SSt, City, Movement, 0, True, (1852, 640)
2020-03-03 16:27:17,981 , P4, SSt, City, Movement, 0, True, (1854, 639)
2020-03-03 16:27:18,015 , P4, SSt, City, Movement, 0, True, (1854, 639)
2020-03-03 16:27:18,048 , P4, SSt, City, Death, 0, False, (-500, -500)
2020-03-03 16:27:19,392 , P4, SSt, City, Movement, 0, True, (-500, -500)
2020-03-03 16:27:19,425 , P4, SSt, City, Movement, 0, True, (1846, 375)
2020-03-03 16:27:19,458 , P4, SSt, City, Movement, 0, True, (1844, 375)
2020-03-03 16:27:19,492 , P4, SSt, City, Movement, 0, True, (1848, 372)
2020-03-03 16:27:19,525 , P4, SSt, City, Movement, 0, True, (1849, 368)
2020-03-03 16:27:19,559 , P4, SSt, City, Movement, 0, True, (1849, 368)
2020-03-03 16:27:19,595 , P4, SSt, City, Movement, 0, True, (1850, 370)
2020-03-03 16:27:19,628 , P4, SSt, City, Movement, 0, True, (1849, 368)
2020-03-03 16:27:19,628 , P4, SSt, City, Movement, 0, True, (1849, 368)
2020-03-03 16:27:19,661 , P4, SSt, City, Death, 0, False, (-500, -500)
2020-03-03 16:27:23,896 , P4, SSt, City, Switch, 0, False, (-500, -500)
2020-03-03 16:27:23,896 , P4, SSt, Enter, Switch, 0, False, (-500, -500)
2020-03-03 16:27:24,795 , P4, SSt, Enter, Switch, 0, False, (-500, -500)
2020-03-03 16:27:24,795 , P4, SSt, Vacation, Switch, 0, False, (-500, -500)
2020-03-03 16:27:28,777 , P4, SSt, Vacation, Movement, 0, True, (-500, -500)
2020-03-03 16:27:28,810 , P4, SSt, Vacation, Movement, 0, True, (602, 886)
2020-03-03 16:27:28,845 , P4, SSt, Vacation, Movement, 0, True, (602, 886)
2020-03-03 16:27:28,880 , P4, SSt, Vacation, Movement, 0, True, (601, 884)
2020-03-03 16:27:28,912 , P4, SSt, Vacation, Movement, 0, True, (601, 884)
2020-03-03 16:27:28,914 , P4, SSt, Vacation, Movement, 0, True, (601, 884)
2020-03-03 16:27:28,946 , P4, SSt, Vacation, Movement, 0, True, (601, 884)
2020-03-03 16:27:29,013 , P4, SSt, Vacation, Movement, 0, True, (600, 883)
2020-03-03 16:27:29,047 , P4, SSt, Vacation, Movement, 0, True, (600, 883)
2020-03-03 16:27:29,047 , P4, SSt, Vacation, Death, 0, False, (-500, -500)
2020-03-03 16:27:29,863 , P4, SSt, Vacation, Movement, 0, True, (-500, -500)
2020-03-03 16:27:29,863 , P4, SSt, Vacation, Death, 0, False, (-500, -500)
2020-03-03 16:27:29,995 , P4, SSt, Vacation, Movement, 0, True, (-500, -500)
2020-03-03 16:27:30,027 , P4, SSt, Vacation, Movement, 0, True, (348, 872)
2020-03-03 16:27:30,060 , P4, SSt, Vacation, Movement, 0, True, (344, 872)
2020-03-03 16:27:30,094 , P4, SSt, Vacation, Movement, 0, True, (343, 874)
2020-03-03 16:27:30,159 , P4, SSt, Vacation, Movement, 0, True, (342, 872)
2020-03-03 16:27:30,160 , P4, SSt, Vacation, Movement, 0, True, (340, 875)
2020-03-03 16:27:30,192 , P4, SSt, Vacation, Movement, 0, True, (342, 874)
2020-03-03 16:27:30,225 , P4, SSt, Vacation, Movement, 0, True, (339, 876)
2020-03-03 16:27:30,258 , P4, SSt, Vacation, Movement, 0, True, (340, 875)
2020-03-03 16:27:30,291 , P4, SSt, Vacation, Movement, 0, True, (342, 874)
2020-03-03 16:27:30,327 , P4, SSt, Vacation, Movement, 0, True, (340, 876)
2020-03-03 16:27:30,359 , P4, SSt, Vacation, Movement, 0, True, (340, 876)
2020-03-03 16:27:30,392 , P4, SSt, Vacation, Death, 0, False, (-500, -500)
2020-03-03 16:27:31,973 , P4, SSt, Vacation, Movement, 0, True, (-500, -500)
