2020-03-02 11:48:44,229 Time, PID, Interaction Style, Mode, Event-type, ID, Alive?, Center
2020-03-02 11:50:14,937 , P1, SSt, City, Switch, 0, False, (-500, -500)
2020-03-02 11:50:14,937 , P1, SSt, Food, Switch, 0, False, (-500, -500)
2020-03-02 11:50:15,538 , P1, SSt, Food, Switch, 0, False, (-500, -500)
2020-03-02 11:50:15,538 , P1, SSt, Pet, Switch, 0, False, (-500, -500)
2020-03-02 11:50:18,128 , P1, SSt, Pet, Movement, 0, True, (-500, -500)
2020-03-02 11:50:18,161 , P1, SSt, Pet, Movement, 0, True, (851, 376)
2020-03-02 11:50:18,162 , P1, SSt, Pet, Movement, 0, True, (847, 379)
2020-03-02 11:50:18,194 , P1, SSt, Pet, Movement, 0, True, (849, 375)
2020-03-02 11:50:18,227 , P1, SSt, Pet, Movement, 0, True, (848, 377)
2020-03-02 11:50:18,261 , P1, SSt, Pet, Movement, 0, True, (848, 376)
2020-03-02 11:50:18,294 , P1, SSt, Pet, Movement, 0, True, (848, 376)
2020-03-02 11:50:18,327 , P1, SSt, Pet, Movement, 0, True, (848, 376)
2020-03-02 11:50:18,327 , P1, SSt, Pet, Movement, 0, True, (848, 376)
2020-03-02 11:50:18,360 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,393 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,425 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,461 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,493 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,494 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,526 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,560 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,593 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,627 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,660 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,693 , P1, SSt, Pet, Movement, 0, True, (848, 378)
2020-03-02 11:50:18,726 , P1, SSt, Pet, Movement, 0, True, (846, 378)
2020-03-02 11:50:18,726 , P1, SSt, Pet, Movement, 0, True, (846, 378)
2020-03-02 11:50:18,759 , P1, SSt, Pet, Movement, 0, True, (846, 378)
2020-03-02 11:50:18,792 , P1, SSt, Pet, Movement, 0, True, (846, 378)
2020-03-02 11:50:18,824 , P1, SSt, Pet, Movement, 0, True, (846, 378)
2020-03-02 11:50:18,858 , P1, SSt, Pet, Movement, 0, True, (846, 378)
2020-03-02 11:50:18,891 , P1, SSt, Pet, Movement, 0, True, (846, 378)
2020-03-02 11:50:18,924 , P1, SSt, Pet, Movement, 0, True, (848, 380)
2020-03-02 11:50:18,959 , P1, SSt, Pet, Movement, 0, True, (848, 380)
2020-03-02 11:50:18,992 , P1, SSt, Pet, Movement, 0, True, (848, 380)
2020-03-02 11:50:18,992 , P1, SSt, Pet, Movement, 0, True, (847, 381)
2020-03-02 11:50:19,024 , P1, SSt, Pet, Death, 0, False, (-500, -500)
2020-03-02 11:50:20,988 , P1, SSt, Pet, Movement, 0, True, (-500, -500)
2020-03-02 11:50:21,021 , P1, SSt, Pet, Movement, 0, True, (594, 646)
2020-03-02 11:50:21,054 , P1, SSt, Pet, Movement, 0, True, (594, 646)
2020-03-02 11:50:21,087 , P1, SSt, Pet, Movement, 0, True, (594, 646)
2020-03-02 11:50:21,121 , P1, SSt, Pet, Movement, 0, True, (594, 646)
2020-03-02 11:50:21,154 , P1, SSt, Pet, Movement, 0, True, (592, 643)
2020-03-02 11:50:21,187 , P1, SSt, Pet, Movement, 0, True, (591, 646)
2020-03-02 11:50:21,221 , P1, SSt, Pet, Movement, 0, True, (592, 648)
2020-03-02 11:50:21,254 , P1, SSt, Pet, Movement, 0, True, (592, 648)
